"site1","site2","jaccard.dissimilarity","env","clim","spatial.site","horn.dissimilarity","range.1","range.2","comp.range"
"M8","A3",0.931787176,1.188907766,0.887393591,35.56545914,0.856697683,"MogollonRim","Flagstaff","Different"
"M9","A3",0.989928058,1.129525735,0.829108466,35.13492463,0.985921589,"MogollonRim","Flagstaff","Different"
"N1","A3",1,1.507316813,1.736419191,76.7399875,1,"Mingus","Flagstaff","Different"
"N2","A3",1,1.456985405,1.691909649,77.35573436,1,"Mingus","Flagstaff","Different"
"N3","A3",1,1.482398667,1.718639156,77.2196933,1,"Mingus","Flagstaff","Different"
"P1","A3",0.996806569,3.574658073,3.32350348,342.3611591,0.995311624,"Pinaleno","Flagstaff","Different"
"P2","A3",1,3.56833701,3.422355281,343.1906834,1,"Pinaleno","Flagstaff","Different"
"P3","A3",0.992473118,2.826336926,3.373357744,342.7670698,0.993689569,"Pinaleno","Flagstaff","Different"
"Sunset Trail","A3",1,3.607874904,4.214975252,330.0181409,1,"MtLemmon","Flagstaff","Different"
"Upper Solders Camp Rd.","A3",0.992416035,4.361104893,4.250780729,330.2269108,0.998779725,"MtLemmon","Flagstaff","Different"
"A1","B1",1,2.812641488,2.148055347,117.5344446,1,"Flagstaff","Bradshaw","Different"
"A2","B1",0.982407407,2.756944322,2.148562379,117.6287385,0.99172387,"Flagstaff","Bradshaw","Different"
"A3","B1",0.991686461,2.803909064,2.144335864,118.1335994,0.998259758,"Flagstaff","Bradshaw","Different"
"B1","B1",0,0,0,0,0,"Bradshaw","Bradshaw","Same"
"B2","B1",0.944307944,0.033333114,0.005342092,0.581622135,0.92614619,"Bradshaw","Bradshaw","Same"
"B3","B1",0.937234043,0.013324732,0.00579782,0.426504336,0.91293806,"Bradshaw","Bradshaw","Same"
"Butterfly trail","B1",0.996813595,1.598905027,2.099035302,271.0634052,0.997730431,"MtLemmon","Bradshaw","Different"
"C1","B1",1,0.357060326,1.260193015,405.1969864,1,"Chiricahuas","Bradshaw","Different"
"C2","B1",0.967881944,0.279068955,1.253097635,405.2772202,0.952724776,"Chiricahuas","Bradshaw","Different"
"C3","B1",0.985619469,0.859820805,1.246905225,405.3112247,0.984792725,"Chiricahuas","Bradshaw","Different"
"H1","B1",0.993720565,2.860954456,2.930431854,382.4106241,0.992545421,"Huachuas","Bradshaw","Different"
"H2","B1",0.993670886,2.821541262,2.919860638,382.5395477,0.995944342,"Huachuas","Bradshaw","Different"
"H3","B1",0.962616822,2.740824834,2.897913974,382.737529,0.953719051,"Huachuas","Bradshaw","Different"
"H4","B1",0.948623853,0.489913658,0.847871318,151.2266336,0.903822223,"Hualapai","Bradshaw","Different"
"H5","B1",1,0.6459108,0.909796891,151.667355,1,"Hualapai","Bradshaw","Different"
"H6","B1",1,1.064173023,0.73962664,150.4426917,1,"Hualapai","Bradshaw","Different"
"M1","B1",0.97275641,1.41494441,0.596489828,97.79341774,0.857519872,"MogollonRim","Bradshaw","Different"
"M2","B1",0.955665025,1.419250762,0.588185293,97.9832143,0.855816394,"MogollonRim","Bradshaw","Different"
"M3","B1",0.974156497,1.415344069,0.582282611,98.27154759,0.95307837,"MogollonRim","Bradshaw","Different"
"M4","B1",0.982622433,1.006846587,0.380001864,86.50606278,0.988468287,"MogollonRim","Bradshaw","Different"
"M5","B1",0.969060773,0.304715464,0.378594765,86.6717616,0.918879839,"MogollonRim","Bradshaw","Different"
"M6","B1",1,0.298479206,0.307244793,87.09683598,1,"MogollonRim","Bradshaw","Different"
"M7","B1",0.976006855,1.535571492,1.179118381,85.29072427,0.975273611,"MogollonRim","Bradshaw","Different"
"M8","B1",0.94426919,1.615001298,1.256942273,86.06020311,0.887029048,"MogollonRim","Bradshaw","Different"
"M9","B1",0.983480176,1.674383328,1.315227398,86.78603429,0.974147736,"MogollonRim","Bradshaw","Different"
"N1","B1",1,1.296592251,0.407916673,42.05045688,1,"Mingus","Bradshaw","Different"
"N2","B1",0.969432314,1.346923659,0.452426215,41.56103653,0.86723001,"Mingus","Bradshaw","Different"
"N3","B1",0.971818182,1.321510397,0.425696708,41.50746022,0.968740817,"Mingus","Bradshaw","Different"
"P1","B1",0.979333615,0.770749009,1.179167616,313.0985586,0.950880835,"Pinaleno","Bradshaw","Different"
"P2","B1",0.978723404,0.764427946,1.278019417,313.7885735,0.972008347,"Pinaleno","Bradshaw","Different"
"P3","B1",0.937614679,0.022427862,1.22902188,313.1548556,0.896715358,"Pinaleno","Bradshaw","Different"
"Sunset Trail","B1",1,0.80396584,2.070639388,271.078156,1,"MtLemmon","Bradshaw","Different"
"Upper Solders Camp Rd.","B1",0.969561325,1.557195829,2.106444865,271.491624,0.880761583,"MtLemmon","Bradshaw","Different"
"A1","B2",1,2.779308374,2.142713255,118.0562567,1,"Flagstaff","Bradshaw","Different"
"A2","B2",0.986153846,2.723611209,2.143220287,118.1479979,0.994562757,"Flagstaff","Bradshaw","Different"
"A3","B2",0.943620178,2.77057595,2.138993772,118.6512229,0.80623544,"Flagstaff","Bradshaw","Different"
"B1","B2",0.944307944,0.033333114,0.005342092,0.581622135,0.92614619,"Bradshaw","Bradshaw","Same"
"B2","B2",0,0,0,0,0,"Bradshaw","Bradshaw","Same"
"B3","B2",0.93902439,0.046657845,0.000455728,0.922140499,0.927547482,"Bradshaw","Bradshaw","Same"
"Butterfly trail","B2",0.952806756,1.632238141,2.104377394,270.6405627,0.926002812,"MtLemmon","Bradshaw","Different"
"C1","B2",0.996734694,0.39039344,1.265535107,404.8632515,0.991701415,"Chiricahuas","Bradshaw","Different"
"C2","B2",0.989231874,0.312402069,1.258439727,404.9426732,0.980424104,"Chiricahuas","Bradshaw","Different"
"C3","B2",0.963131313,0.893153919,1.252247317,404.9761018,0.941059773,"Chiricahuas","Bradshaw","Different"
"H1","B2",1,2.89428757,2.935773946,381.9562136,1,"Huachuas","Bradshaw","Different"
"H2","B2",0.96816609,2.854874376,2.92520273,382.0852854,0.956044935,"Huachuas","Bradshaw","Different"
"H3","B2",0.986270023,2.774157947,2.903256066,382.2833955,0.992721404,"Huachuas","Bradshaw","Different"
"H4","B2",0.985130112,0.456580544,0.842529226,151.443539,0.980157604,"Hualapai","Bradshaw","Different"
"H5","B2",1,0.679243914,0.904454799,151.8842466,1,"Hualapai","Bradshaw","Different"
"H6","B2",1,1.097506136,0.734284548,150.6597978,1,"Hualapai","Bradshaw","Different"
"M1","B2",0.973621103,1.381611297,0.591147736,97.93171431,0.905656084,"MogollonRim","Bradshaw","Different"
"M2","B2",0.971014493,1.385917648,0.582843201,98.11786558,0.972646067,"MogollonRim","Bradshaw","Different"
"M3","B2",0.950318471,1.382010955,0.576940519,98.40387396,0.92626853,"MogollonRim","Bradshaw","Different"
"M4","B2",0.968514716,1.040179701,0.385343956,86.56954704,0.972620803,"MogollonRim","Bradshaw","Different"
