Query sequence,Sample name,Otu.95,Most common phylum-level assignment,Phylum-level assignment,Most common class-level assignment,Class-level assignment,Most common order-level assignment,Order-level assignment,Most common family-level assignment,Family-level assignment,Most common Genus-level assignment,Genus-level assignment,Taxon assignment,Likelihood weight,otu,otu_references
C31c_Otu180,C31c,Otu180,Ascomycota,Ascomycota,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Amphisphaeriaceae,"Amphisphaeriaceae,Sporocadaceae",Pestalotiopsis,"Pestalotiopsis,Pseudopestalotiopsis","Pestalotiopsis_vismiae,Pseudopestalotiopsis_theae","0.247889, 0.234971, 0.220343, 0.071109, 0.047317, 0.047292, 0.047274, 0.010901, 0.007522, 0.007233, 0.006503",OTU524,
C31c_Otu33,C31c,Otu33,Ascomycota,Ascomycota,Leotiomycetes,Leotiomycetes,Rhytismatales,Rhytismatales,Rhytismataceae,"Rhytismataceae,Cudoniaceae",Coccomyces,"Coccomyces,Tryblidiopsis,Lophodermium,Cudonia,Meloderma,Spathularia","Tryblidiopsis_pinastri,Coccomyces_strobi,Lophodermium_pinastri,Cudonia_circinans,Meloderma_desmazieresii,Spathularia_velutipes,Coccomyces_dentatus","0.258077, 0.185206, 0.149010, 0.131193, 0.065163, 0.058768, 0.036780, 0.019031, 0.018916, 0.014430, 0.011742",OTU653,
C31c_Otu468,C31c,Otu468,Ascomycota,Ascomycota,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,Xylariaceae,Biscogniauxia,Biscogniauxia,Biscogniauxia_mediterranea,1,OTU330,
C31c_Otu698,C31c,Otu698,Ascomycota,Ascomycota,Eurotiomycetes,Eurotiomycetes,Phaeomoniellales,Phaeomoniellales,unclassified,unclassified,Celerioriella,"Celerioriella,Dolabra,Neophaeomoniella,Minutiella,Aequabiliella","Dolabra_nepheliae,Neophaeomoniella_zymoides,Minutiella_tardicola,Celerioriella_prunicola,Aequabiliella_effusa,Celerioriella_dura",0.991223,OTU283,
C31c_Otu81,C31c,Otu81,Ascomycota,Ascomycota,Pezizomycetes,Pezizomycetes,Pezizales,Pezizales,Sarcosomataceae,Sarcosomataceae,Urnula,"Urnula,Galiella","Urnula_craterium,Galiella_rufa","0.277881, 0.159731, 0.089131, 0.088819, 0.064406, 0.062178, 0.048110, 0.027974, 0.026878, 0.025887, 0.022858",OTU232,
C31c_Otu919,C31c,Otu919,Ascomycota,Ascomycota,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,Xylariaceae,Biscogniauxia,Biscogniauxia,Biscogniauxia_mediterranea,1,OTU792,
C32_Otu101,C32,Otu101,Ascomycota,Ascomycota,Arthoniomycetes,Arthoniomycetes,Arthoniales,Arthoniales,Roccellaceae,"Roccellaceae,Roccellographaceae,Lecanographaceae",Roccella,"Roccella,Combea,Roccellographa,Simonyella,Roccellina,Opegrapha,Alyxoria","Roccella_montagnei,Roccella_canariensis,Combea_mollusca,Roccellographa_cretacea,Simonyella_variegata,Roccella_tuberculata,Roccellina_hypomecha,Roccella_boergesenii,Opegrapha_dolomitica,Roccella_fuciformis,Alyxoria_varia","0.138453, 0.116863, 0.116497, 0.076362, 0.075819, 0.053456, 0.052242, 0.052242, 0.052242, 0.052242, 0.052242",OTU963,
C32_Otu1019,C32,Otu1019,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Capnodiales,"Capnodiales,unclassified",Cladosporiaceae,"Cladosporiaceae,unclassified,Davidiellaceae",Cladosporium,"Cladosporium,unclassified,Rachicladosporium","Cladosporium_fusiforme,Cladosporium_sphaerospermum,Dothideomycetes_sp_TRN43,Cladosporium_cladosporioides,Rachicladosporium_inconspicuum_1,Rachicladosporium_mcmurdoi,Rachicladosporium_inconspicuum,Davidiellaceae_sp_AN1,Dothideomycetes_sp_TRN44,Dothideomycetes_sp_TRN42,Cladosporium_allicinum","0.519969, 0.065270, 0.059032, 0.045328, 0.043381, 0.039411, 0.021553, 0.021544, 0.021266, 0.016410, 0.015311",OTU834,
C32_Otu104,C32,Otu104,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Dothideales,"Dothideales,unclassified",Dothideaceae,"Dothideaceae,Dothioraceae,unclassified",Dothidea,"Dothidea,Dothiora,unclassified,Delphinella,Sydowia,Neocylindroseptoria,Stylodothis","Dothideomycetes_sp_TRN11,Delphinella_strobiligena,Sydowia_polyspora,Dothiora_ceratoniae,Neocylindroseptoria_pistaciae,Stylodothis_puccinioides,Dothidea_ribesia,Dothidea_sambuci,Dothidea_hippophaeos,Dothidea_insculpta,Dothiora_cannabinae","0.297802, 0.213648, 0.207450, 0.134173, 0.051031, 0.050825",OTU17,
C32_Otu1056,C32,Otu1056,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Pleosporales,Pleosporales,Sporormiaceae,Sporormiaceae,Westerdykella,Westerdykella,Westerdykella_cylindrica,"0.378962, 0.310368, 0.308068",OTU1013,
C32_Otu107,C32,Otu107,Ascomycota,Ascomycota,Sordariomycetes,Sordariomycetes,Hypocreales,Hypocreales,Nectriaceae,Nectriaceae,Xenoacremonium,"Xenoacremonium,Nectria","Xenoacremonium_falcatus,Nectria_sp1","0.334441, 0.250482, 0.230791, 0.095524, 0.088762",OTU73,
C32_Otu1070,C32,Otu1070,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Dothideales,"Dothideales,unclassified",Dothideaceae,"Dothideaceae,Dothioraceae,unclassified",Dothidea,"Dothidea,Dothiora,unclassified,Delphinella,Sydowia,Neocylindroseptoria,Stylodothis","Dothideomycetes_sp_TRN11,Delphinella_strobiligena,Sydowia_polyspora,Dothiora_ceratoniae,Neocylindroseptoria_pistaciae,Stylodothis_puccinioides,Dothidea_ribesia,Dothidea_sambuci,Dothidea_hippophaeos,Dothidea_insculpta,Dothiora_cannabinae","0.107543, 0.107237, 0.107236, 0.084735, 0.084601, 0.024095, 0.024081, 0.012314, 0.009386, 0.009383, 0.009324",OTU827,
C32_Otu1073,C32,Otu1073,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,unclassified,unclassified,unclassified,unclassified,Cryomyces,Cryomyces,"Cryomyces_sp_montanus,Cryomyces_antarcticus","0.050946, 0.049117, 0.041553, 0.037431, 0.037403, 0.028996, 0.028985, 0.028901, 0.028530, 0.023271, 0.022622",OTU702,
C32_Otu1097,C32,Otu1097,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Dothideales,"Dothideales,unclassified",Dothideaceae,"Dothideaceae,Dothioraceae,unclassified",Dothidea,"Dothidea,Dothiora,unclassified,Delphinella,Sydowia,Neocylindroseptoria,Stylodothis","Dothideomycetes_sp_TRN11,Delphinella_strobiligena,Sydowia_polyspora,Dothiora_ceratoniae,Neocylindroseptoria_pistaciae,Stylodothis_puccinioides,Dothidea_ribesia,Dothidea_sambuci,Dothidea_hippophaeos,Dothidea_insculpta,Dothiora_cannabinae","0.032104, 0.031584, 0.023753, 0.022928, 0.022921, 0.022921, 0.022921, 0.022921, 0.022921, 0.022916, 0.022916",OTU1041,
C32_Otu110,C32,Otu110,Ascomycota,Ascomycota,Orbiliomycetes,Orbiliomycetes,Orbiliales,Orbiliales,Orbiliaceae,Orbiliaceae,Arthrobotrys,"Arthrobotrys,Dactylellina,Drechslerella,Orbilia","Dactylellina_haptotyla,Arthrobotrys_elegans,Arthrobotrys_gephyropaga,Arthrobotrys_pyriformis,Arthrobotrys_superba,Drechslerella_dactyloides,Drechslerella_brochopaga,Dactylellina_ellipsospora,Orbilia_auricolor,Orbilia_vinosa,Arthrobotrys_conoides","0.204241, 0.204150, 0.204052, 0.061357, 0.034882, 0.033279, 0.031415, 0.020747, 0.014576, 0.014256, 0.012772",OTU160,
C32_Otu112,C32,Otu112,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,unclassified,unclassified,Kirschsteiniotheliaceae,Kirschsteiniotheliaceae,Kirschsteiniothelia,Kirschsteiniothelia,"Kirschsteiniothelia_aethiops,Kirschsteiniothelia_aethiops_1","0.072007, 0.071049, 0.068090, 0.058234, 0.055186, 0.054542, 0.054404, 0.054404, 0.054404, 0.054404, 0.054404",OTU105,
C32_Otu1157,C32,Otu1157,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,unclassified,unclassified,unclassified,unclassified,Cryomyces,Cryomyces,"Cryomyces_sp_montanus,Cryomyces_antarcticus","0.077307, 0.071930, 0.049864, 0.049734, 0.049144, 0.041383, 0.035042, 0.034028, 0.030818, 0.023508, 0.023490",OTU319,
C32_Otu117,C32,Otu117,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Pleosporales,Pleosporales,Didymosphaeriaceae,"Didymosphaeriaceae,Testudinaceae",Didymosphaeria,"Didymosphaeria,Ulospora","Didymosphaeria_enalia,Ulospora_bilgramii","0.223368, 0.147365, 0.143586, 0.139652, 0.121491, 0.107829, 0.081182",OTU1,
C32_Otu1197,C32,Otu1197,Ascomycota,Ascomycota,Sordariomycetes,Sordariomycetes,Sordariales,Sordariales,Sordariaceae,Sordariaceae,Sordaria,Sordaria,Sordaria_lappae,"0.168887, 0.168580, 0.168507, 0.168442, 0.168110, 0.071495, 0.071154",OTU749,
C32_Otu125,C32,Otu125,Ascomycota,Ascomycota,Xylonomycetes,Xylonomycetes,Xylonomycetales,Xylonomycetales,unclassified,unclassified,Symbiotaphrina,Symbiotaphrina,Symbiotaphrina_kochii,"0.035598, 0.033509, 0.023962, 0.023153, 0.021911, 0.021512, 0.019502, 0.019495, 0.019246, 0.017495, 0.016726",OTU617,
C32_Otu126,C32,Otu126,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Pleosporales,Pleosporales,Sporormiaceae,Sporormiaceae,Westerdykella,Westerdykella,Westerdykella_cylindrica,"0.365765, 0.310864, 0.309638",OTU353,
C32_Otu130,C32,Otu130,Ascomycota,Ascomycota,Pezizomycetes,Pezizomycetes,Pezizales,Pezizales,Pyronemataceae,Pyronemataceae,Tricharina,Tricharina,Tricharina_gilva,"0.058392, 0.020334, 0.018134, 0.017049, 0.017039, 0.017038, 0.016543, 0.016314, 0.016181, 0.015533, 0.013810",OTU455,
C32_Otu143,C32,Otu143,Ascomycota,Ascomycota,Eurotiomycetes,Eurotiomycetes,Eurotiales,Eurotiales,Aspergillaceae,Aspergillaceae,Penicillium,Penicillium,"Penicillium_goetzii,Penicillium_sinaicum,Penicillium_viridicatum,Penicillium_polonicum,Penicillium_freii,Penicillium_biforme,Penicillium_kewense","0.076556, 0.076544, 0.076543, 0.076528, 0.076523, 0.076518, 0.076505, 0.076500, 0.076050, 0.075429, 0.075346",OTU1047,
C32_Otu149,C32,Otu149,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Capnodiales,"Capnodiales,unclassified",unclassified,"unclassified,Extremaceae,Neodevriesiaceae",unclassified,"unclassified,Neodevriesia,Vermiconia,Tripospermum,Petrophila","Neodevriesia_strelitziae,Capnodiales_sp_CCFEE_5502,Vermiconia_foris,Dothideomycetes_sp_TRN152,Dothideomycetes_sp_TRN142,Neodevriesia_agapanthi,Tripospermum_myrti,Capnodiales_sp_A73,Vermiconia_flagrans,Dothideomycetes_sp_TRN153,Petrophila_incerta_1","0.291119, 0.131755, 0.117296, 0.099270, 0.099116, 0.021734, 0.021463, 0.021463, 0.021463, 0.021463, 0.021463",OTU1056,
C32_Otu157,C32,Otu157,Ascomycota,Ascomycota,Eurotiomycetes,Eurotiomycetes,Eurotiales,Eurotiales,Aspergillaceae,Aspergillaceae,Aspergillus,Aspergillus,Aspergillus_protuberus,0.999845,OTU746,
C32_Otu167,C32,Otu167,Ascomycota,Ascomycota,Sordariomycetes,Sordariomycetes,Glomerellales,Glomerellales,Glomerellaceae,Glomerellaceae,Colletotrichum,Colletotrichum,Colletotrichum_musae,"0.783341, 0.216659",OTU795,
C32_Otu168,C32,Otu168,Ascomycota,Ascomycota,Taphrinomycetes,Taphrinomycetes,Taphrinales,Taphrinales,Taphrinaceae,"Taphrinaceae,Protomycetaceae",Taphrina,"Taphrina,Protomyces","Protomyces_inouyei,Taphrina_communis,Taphrina_deformans,Taphrina_wiesneri","0.200555, 0.197693, 0.188430, 0.090248, 0.089479, 0.056131, 0.049525, 0.029920, 0.029913, 0.015534, 0.015432",OTU476,
C32_Otu18,C32,Otu18,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Botryosphaeriales,Botryosphaeriales,Saccharataceae,"Saccharataceae,Septorioideaceae",Saccharata,"Saccharata,Septorioides","Saccharata_capensis,Saccharata_kirstenboschensis,Septorioides_pini-thunbergii,Saccharata_hawaiiensis","0.311532, 0.297087, 0.229582, 0.067658, 0.041184, 0.037722",OTU492,
C32_Otu180,C32,Otu180,Ascomycota,Ascomycota,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Amphisphaeriaceae,"Amphisphaeriaceae,Sporocadaceae",Pestalotiopsis,"Pestalotiopsis,Pseudopestalotiopsis","Pestalotiopsis_vismiae,Pseudopestalotiopsis_theae","0.247889, 0.234971, 0.220343, 0.071109, 0.047317, 0.047292, 0.047274, 0.010901, 0.007522, 0.007233, 0.006503",OTU524,
C32_Otu188,C32,Otu188,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Dothideales,Dothideales,Aureobasidiaceae,Aureobasidiaceae,Aureobasidium,Aureobasidium,"Aureobasidium_melanogenum,Aureobasidium_pullulans,Aureobasidium_lini,Aureobasidium_namibiae","0.564844, 0.226296, 0.113025, 0.048291",OTU712,
C32_Otu192,C32,Otu192,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Botryosphaeriales,Botryosphaeriales,Phyllostictaceae,"Phyllostictaceae,Planistromellaceae,Aplosporellaceae",Phyllosticta,"Phyllosticta,Kellermania,Aplosporella","Kellermania_confusa,Phyllosticta_abieticola,Kellermania_dasylirionicola,Aplosporella_prunicola,Phyllosticta_ampelicida,Kellermania_nolinifoliorum,Kellermania_micranthae,Phyllosticta_beaumarisii,Phyllosticta_philoprina,Phyllosticta_capitalensis,Phyllosticta_elongata","0.315579, 0.311522, 0.304555, 0.011505, 0.007457",OTU183,
C32_Otu201,C32,Otu201,Ascomycota,Ascomycota,Leotiomycetes,Leotiomycetes,Helotiales,Helotiales,unclassified,unclassified,Phialocephala,Phialocephala,Phialocephala_scopiformis,"0.270632, 0.166767, 0.145059, 0.106941, 0.040236, 0.030830, 0.030736, 0.027529, 0.014101, 0.014002, 0.013981",OTU317,
C32_Otu208,C32,Otu208,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Pleosporales,Pleosporales,Pleosporaceae,Pleosporaceae,Curvularia,Curvularia,Curvularia_americana,1,OTU1116,
C32_Otu210,C32,Otu210,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Botryosphaeriales,Botryosphaeriales,Planistromellaceae,"Planistromellaceae,Saccharataceae,Phyllostictaceae,Aplosporellaceae,Septorioideaceae",Kellermania,"Kellermania,Saccharata,Phyllosticta,Aplosporella,Septorioides","Kellermania_confusa,Kellermania_dasylirionicola,Aplosporella_prunicola,Phyllosticta_capitalensis,Phyllosticta_ampelicida,Saccharata_kirstenboschensis,Kellermania_nolinifoliorum,Kellermania_micranthae,Saccharata_hawaiiensis,Saccharata_capensis,Septorioides_pini-thunbergii","0.081113, 0.065588, 0.053836, 0.050805, 0.041134, 0.041091, 0.041091, 0.041091, 0.041091, 0.041091, 0.041081",OTU1109,
C32_Otu211,C32,Otu211,Ascomycota,Ascomycota,Geoglossomycetes,Geoglossomycetes,Geoglossales,Geoglossales,Geoglossaceae,Geoglossaceae,Geoglossum,"Geoglossum,Trichoglossum","Geoglossum_nigritum,Trichoglossum_hirsutum","0.163217, 0.048949, 0.043611, 0.036656, 0.035033, 0.034064, 0.029751, 0.027394, 0.025379, 0.024779, 0.024142",OTU88,
C32_Otu223,C32,Otu223,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Capnodiales,"Capnodiales,unclassified",unclassified,"unclassified,Neodevriesiaceae",unclassified,"unclassified,Neodevriesia,Tripospermum","Neodevriesia_strelitziae,Dothideomycetes_sp_TRN152,Dothideomycetes_sp_TRN142,Neodevriesia_agapanthi,Tripospermum_myrti,Dothideomycetes_sp_TRN153","0.225411, 0.221679, 0.221491, 0.021266, 0.021194, 0.020784, 0.020784, 0.020784, 0.020784, 0.020784, 0.020783",OTU266,
C32_Otu259,C32,Otu259,Ascomycota,Ascomycota,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,"Xylariaceae,Diatrypaceae,Graphostromataceae,-",Biscogniauxia,"Biscogniauxia,Anthostomella,Cryptosphaeria,Eutypa,Diatrype,Annulohypoxylon,Graphostroma,Diatrypasimilis","Biscogniauxia_mediterranea,Anthostomella_sepelibilis,Eutypa_lata,Diatrype_disciformis,Annulohypoxylon_nitens,Cryptosphaeria_ligniota,Anthostomella_torosa,Graphostroma_platystoma,Cryptosphaeria_subcutanea,Diatrypasimilis_australiensis,Biscogniauxia_capnodes","0.383129, 0.171886, 0.041005, 0.038492, 0.038168, 0.038049, 0.035847, 0.035678, 0.035474, 0.025899, 0.025828",OTU154,
C32_Otu271,C32,Otu271,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Botryosphaeriales,Botryosphaeriales,Planistromellaceae,"Planistromellaceae,Saccharataceae,Phyllostictaceae,Aplosporellaceae,Septorioideaceae",Kellermania,"Kellermania,Saccharata,Phyllosticta,Aplosporella,Septorioides","Kellermania_confusa,Kellermania_dasylirionicola,Aplosporella_prunicola,Phyllosticta_capitalensis,Phyllosticta_ampelicida,Saccharata_kirstenboschensis,Kellermania_nolinifoliorum,Kellermania_micranthae,Saccharata_hawaiiensis,Saccharata_capensis,Septorioides_pini-thunbergii","0.335326, 0.119674, 0.118165, 0.066316, 0.064999, 0.032834, 0.032187, 0.030941, 0.014118, 0.013386, 0.013386",OTU460,
C32_Otu289,C32,Otu289,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Botryosphaeriales,Botryosphaeriales,Planistromellaceae,"Planistromellaceae,Saccharataceae,Phyllostictaceae,Aplosporellaceae,Septorioideaceae",Kellermania,"Kellermania,Saccharata,Phyllosticta,Aplosporella,Septorioides","Kellermania_confusa,Kellermania_dasylirionicola,Aplosporella_prunicola,Phyllosticta_capitalensis,Phyllosticta_ampelicida,Saccharata_kirstenboschensis,Kellermania_nolinifoliorum,Kellermania_micranthae,Saccharata_hawaiiensis,Saccharata_capensis,Septorioides_pini-thunbergii","0.305290, 0.304094, 0.304038, 0.008459, 0.006896, 0.006137, 0.005868, 0.004045, 0.004018, 0.002326",OTU44,
C32_Otu298,C32,Otu298,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Dothideales,Dothideales,Aureobasidiaceae,Aureobasidiaceae,Aureobasidium,Aureobasidium,"Aureobasidium_melanogenum,Aureobasidium_pullulans,Aureobasidium_lini,Aureobasidium_namibiae","0.626386, 0.107937, 0.074211, 0.064522, 0.061611, 0.060569",OTU90,
C32_Otu308,C32,Otu308,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Pleosporales,Pleosporales,Sporormiaceae,Sporormiaceae,Westerdykella,Westerdykella,Westerdykella_cylindrica,"0.377745, 0.310948, 0.310723",OTU948,
C32_Otu309,C32,Otu309,Ascomycota,Ascomycota,Eurotiomycetes,Eurotiomycetes,Pyrenulales,"Pyrenulales,Phaeomoniellales",Pyrenulaceae,"Pyrenulaceae,unclassified,Requienellaceae",Pyrenula,"Pyrenula,Pyrgillus,Neophaeomoniella,Anthracothecium,Minutiella,Celerioriella,Aequabiliella,Granulopyrenis","Pyrgillus_javanicus,Pyrenula_cruenta,Neophaeomoniella_zymoides,Anthracothecium_nanum,Minutiella_tardicola,Celerioriella_prunicola,Aequabiliella_effusa,Granulopyrenis_seawardii,Pyrenula_punctella,Pyrenula_aspistea,Pyrenula_reebiae","0.113378, 0.074120, 0.054392, 0.047175, 0.046739, 0.044621, 0.044244, 0.033896, 0.033772, 0.033772, 0.033772",OTU719,
C32_Otu31,C32,Otu31,Ascomycota,Ascomycota,Taphrinomycetes,"Taphrinomycetes,Saccharomycetes,Pneumocystidomycetes,Schizosaccharomycetes,unclassified",Taphrinales,"Taphrinales,Saccharomycetales,Pneumocystidales,Schizosaccharomycetales,unclassified",Taphrinaceae,"Taphrinaceae,Saccharomycetaceae,Trichomonascaceae,Pneumocystidaceae,Schizosaccharomycetaceae,unclassified,Protomycetaceae,Dipodascaceae",Taphrina,"Taphrina,Zygoascus,Pneumocystis,Schizosaccharomyces,Saitoella,Protomyces,Yarrowia,Candida,Saccharomyces","Taphrina_deformans,Zygoascus_hellenicus,Pneumocystis_carinii,Schizosaccharomyces_pombe,Saitoella_complicata,Protomyces_inouyei,Taphrina_wiesneri,Yarrowia_lipolytica,Taphrina_communis,Candida_glabrata,Saccharomyces_cerevisiae","0.208845, 0.123456, 0.118741, 0.110305, 0.091174, 0.078681, 0.062309, 0.023364, 0.020948, 0.013589, 0.013311",OTU793,
C32_Otu318,C32,Otu318,Ascomycota,Ascomycota,Sordariomycetes,Sordariomycetes,Microascales,Microascales,Microascaceae,Microascaceae,Graphium,Graphium,Graphium_penicillioides,"0.218959, 0.189735, 0.186392, 0.186248, 0.060771, 0.051882, 0.014016, 0.012240, 0.011394, 0.010969, 0.006609",OTU631,
C32_Otu319,C32,Otu319,Ascomycota,Ascomycota,Sordariomycetes,Sordariomycetes,Sordariales,Sordariales,Sordariaceae,Sordariaceae,Gelasinospora,Gelasinospora,Gelasinospora_tetrasperma,"0.166546, 0.166260, 0.164440, 0.158138, 0.158132, 0.090378, 0.089822",OTU889,
C32_Otu34,C32,Otu34,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Dothideales,"Dothideales,unclassified",Dothideaceae,"Dothideaceae,Dothioraceae,unclassified",Dothidea,"Dothidea,Dothiora,unclassified,Delphinella,Sydowia,Neocylindroseptoria,Stylodothis","Dothideomycetes_sp_TRN11,Delphinella_strobiligena,Sydowia_polyspora,Dothiora_ceratoniae,Neocylindroseptoria_pistaciae,Stylodothis_puccinioides,Dothidea_ribesia,Dothidea_sambuci,Dothidea_hippophaeos,Dothidea_insculpta,Dothiora_cannabinae","0.280767, 0.079907, 0.068692, 0.036120, 0.034736, 0.034730, 0.034730, 0.034730, 0.034730, 0.034730, 0.031512",OTU167,
C32_Otu345,C32,Otu345,Ascomycota,Ascomycota,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Microdochiaceae,"Microdochiaceae,unclassified",Microdochium,Microdochium,"Microdochium_colombiense,Microdochium_bolleyi,Microdochium_trichocladiopsis,Microdochium_phragmitis,Microdochium_tainanense,Microdochium_neoqueenslandicum,Microdochium_nivale,Microdochium_citrinidiscum","0.200218, 0.132776, 0.130450, 0.130287, 0.109988, 0.102547, 0.094879, 0.010197, 0.008030, 0.005725, 0.005712",OTU610,
C32_Otu348,C32,Otu348,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Pleosporales,Pleosporales,Didymosphaeriaceae,"Didymosphaeriaceae,Testudinaceae",Didymosphaeria,"Didymosphaeria,Ulospora","Didymosphaeria_enalia,Ulospora_bilgramii","0.196002, 0.146290, 0.132933, 0.130172, 0.127010, 0.113697, 0.087931, 0.025251",OTU1136,
C32_Otu354,C32,Otu354,Ascomycota,Ascomycota,Sordariomycetes,Sordariomycetes,Hypocreales,Hypocreales,Clavicipitaceae,Clavicipitaceae,Moelleriella,Moelleriella,Moelleriella_libera,"0.418746, 0.372933, 0.083015, 0.007108, 0.006974, 0.006361, 0.004701, 0.003425, 0.001947, 0.001842, 0.001830",OTU690,
C32_Otu363,C32,Otu363,Ascomycota,Ascomycota,Pezizomycetes,Pezizomycetes,Pezizales,Pezizales,Pyronemataceae,Pyronemataceae,Tarzetta,Tarzetta,Tarzetta_catinus,"0.315957, 0.064292, 0.056214, 0.056175, 0.056160, 0.034032, 0.033986, 0.027828, 0.023322, 0.021569, 0.015096",OTU1068,
C32_Otu37,C32,Otu37,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Dothideales,Dothideales,Aureobasidiaceae,Aureobasidiaceae,Aureobasidium,Aureobasidium,Aureobasidium_melanogenum,0.999975,OTU973,
C32_Otu378,C32,Otu378,Ascomycota,Ascomycota,Arthoniomycetes,Arthoniomycetes,Arthoniales,Arthoniales,Roccellaceae,"Roccellaceae,Roccellographaceae,Chrysotrichaceae,Lecanographaceae",Roccella,"Roccella,Combea,Roccellographa,Simonyella,Opegrapha,Chrysothrix,Alyxoria","Roccella_montagnei,Roccella_fuciformis,Roccella_canariensis,Combea_mollusca,Roccellographa_cretacea,Simonyella_variegata,Roccella_tuberculata,Roccella_boergesenii,Opegrapha_dolomitica,Chrysothrix_caesia,Alyxoria_varia","0.094897, 0.084157, 0.083554, 0.082189, 0.081417, 0.081417, 0.081417, 0.081417, 0.081417, 0.031512, 0.020163",OTU48,
C32_Otu399,C32,Otu399,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Pleosporales,Pleosporales,Leptosphaeriaceae,Leptosphaeriaceae,Plenodomus,Plenodomus,Plenodomus_visci,"0.538174, 0.116161, 0.100253, 0.098292, 0.016964, 0.015853, 0.015740, 0.012152, 0.012132, 0.012048, 0.011581",OTU1026,
C32_Otu403,C32,Otu403,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,unclassified,unclassified,Kirschsteiniotheliaceae,Kirschsteiniotheliaceae,Kirschsteiniothelia,Kirschsteiniothelia,"Kirschsteiniothelia_aethiops,Kirschsteiniothelia_aethiops_1","0.105506, 0.072081, 0.065065, 0.064808, 0.064808, 0.064808, 0.064808, 0.064808, 0.064793, 0.064792, 0.042942",OTU974,
C32_Otu43,C32,Otu43,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,unclassified,unclassified,unclassified,unclassified,Cryomyces,Cryomyces,"Cryomyces_sp_montanus,Cryomyces_antarcticus","0.106836, 0.073354, 0.073000, 0.073000, 0.073000, 0.073000, 0.073000, 0.072983, 0.072982, 0.072098, 0.070167",OTU384,
C32_Otu467,C32,Otu467,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Dothideales,Dothideales,Dothideaceae,"Dothideaceae,Dothioraceae",Dothidea,"Dothidea,Dothiora,Delphinella,Sydowia,Neocylindroseptoria,Stylodothis","Delphinella_strobiligena,Sydowia_polyspora,Dothiora_ceratoniae,Neocylindroseptoria_pistaciae,Stylodothis_puccinioides,Dothidea_ribesia,Dothidea_sambuci,Dothidea_hippophaeos,Dothidea_insculpta,Dothiora_cannabinae","0.381746, 0.206288, 0.163111, 0.110221, 0.100303",OTU858,
C32_Otu494,C32,Otu494,Ascomycota,Ascomycota,Taphrinomycetes,"Taphrinomycetes,Saccharomycetes,Pneumocystidomycetes,Schizosaccharomycetes,unclassified",Taphrinales,"Taphrinales,Saccharomycetales,Pneumocystidales,Schizosaccharomycetales,unclassified",Taphrinaceae,"Taphrinaceae,Saccharomycetaceae,Trichomonascaceae,Pneumocystidaceae,Schizosaccharomycetaceae,unclassified,Protomycetaceae,Dipodascaceae",Taphrina,"Taphrina,Zygoascus,Pneumocystis,Schizosaccharomyces,Saitoella,Protomyces,Yarrowia,Candida,Saccharomyces","Taphrina_deformans,Zygoascus_hellenicus,Pneumocystis_carinii,Schizosaccharomyces_pombe,Saitoella_complicata,Protomyces_inouyei,Taphrina_wiesneri,Yarrowia_lipolytica,Taphrina_communis,Candida_glabrata,Saccharomyces_cerevisiae","0.195268, 0.169720, 0.136799, 0.123329, 0.112313, 0.106258, 0.060488, 0.014400, 0.013717, 0.008345, 0.008077",OTU737,
