Query sequence,Sample name,Otu.95,Most common phylum-level assignment,Phylum-level assignment,Most common class-level assignment,Class-level assignment,Most common order-level assignment,Order-level assignment,Most common family-level assignment,Family-level assignment,Most common Genus-level assignment,Genus-level assignment,Taxon assignment,Likelihood weight,otu,otu_references
M12_Otu732,M12,Otu732,Ascomycota,Ascomycota,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Microdochiaceae,"Microdochiaceae,unclassified",Microdochium,Microdochium,"Microdochium_colombiense,Microdochium_bolleyi,Microdochium_trichocladiopsis,Microdochium_phragmitis,Microdochium_tainanense,Microdochium_neoqueenslandicum,Microdochium_nivale,Microdochium_citrinidiscum","0.437513, 0.137620, 0.132273, 0.124758, 0.071284, 0.018771, 0.017332, 0.012701",OTU638,
M12_Otu750,M12,Otu750,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Capnodiales,"Capnodiales,unclassified",Cladosporiaceae,"Cladosporiaceae,unclassified,Davidiellaceae",Cladosporium,"Cladosporium,unclassified,Rachicladosporium","Cladosporium_fusiforme,Cladosporium_sphaerospermum,Dothideomycetes_sp_TRN43,Cladosporium_cladosporioides,Rachicladosporium_inconspicuum_1,Rachicladosporium_mcmurdoi,Rachicladosporium_inconspicuum,Davidiellaceae_sp_AN1,Dothideomycetes_sp_TRN44,Dothideomycetes_sp_TRN42,Cladosporium_allicinum","0.359809, 0.122750, 0.068064, 0.067247, 0.067061, 0.064919, 0.047425, 0.030499, 0.027353, 0.018727, 0.018662",OTU114,
M12_Otu771,M12,Otu771,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Capnodiales,"Capnodiales,unclassified",Cladosporiaceae,"Cladosporiaceae,unclassified,Davidiellaceae",Cladosporium,"Cladosporium,unclassified,Rachicladosporium","Cladosporium_fusiforme,Cladosporium_sphaerospermum,Dothideomycetes_sp_TRN43,Cladosporium_cladosporioides,Rachicladosporium_inconspicuum_1,Rachicladosporium_mcmurdoi,Rachicladosporium_inconspicuum,Davidiellaceae_sp_AN1,Dothideomycetes_sp_TRN44,Dothideomycetes_sp_TRN42,Cladosporium_allicinum","0.836072, 0.073301, 0.057653",OTU615,
M12_Otu779,M12,Otu779,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Dothideales,"Dothideales,unclassified",Dothideaceae,"Dothideaceae,Dothioraceae,unclassified",Dothidea,"Dothidea,Dothiora,unclassified,Delphinella,Sydowia,Neocylindroseptoria,Stylodothis","Dothideomycetes_sp_TRN11,Delphinella_strobiligena,Sydowia_polyspora,Dothiora_ceratoniae,Neocylindroseptoria_pistaciae,Stylodothis_puccinioides,Dothidea_ribesia,Dothidea_sambuci,Dothidea_hippophaeos,Dothidea_insculpta,Dothiora_cannabinae","0.057622, 0.038801, 0.038466, 0.033136, 0.030867, 0.030854, 0.030854, 0.030854, 0.029426, 0.026768, 0.026201",OTU621,
M12_Otu78,M12,Otu78,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Pleosporales,Pleosporales,Sporormiaceae,Sporormiaceae,Preussia,Preussia,Preussia_minima,"0.238254, 0.153992, 0.111578, 0.050994, 0.047451, 0.046129, 0.044460, 0.042936, 0.042734, 0.039019, 0.038471",OTU445,
M12_Otu864,M12,Otu864,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Pleosporales,Pleosporales,Sporormiaceae,Sporormiaceae,Westerdykella,"Westerdykella,Preussia","Westerdykella_cylindrica,Preussia_minima","0.144212, 0.118425, 0.054518, 0.054416, 0.054397, 0.051885, 0.051610, 0.042800, 0.041328, 0.029152, 0.026053",OTU1055,
M12_Otu90,M12,Otu90,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Capnodiales,"Capnodiales,unclassified",Cladosporiaceae,"Cladosporiaceae,unclassified,Davidiellaceae",Cladosporium,"Cladosporium,unclassified,Rachicladosporium","Cladosporium_fusiforme,Cladosporium_sphaerospermum,Dothideomycetes_sp_TRN43,Cladosporium_cladosporioides,Rachicladosporium_inconspicuum_1,Rachicladosporium_mcmurdoi,Rachicladosporium_inconspicuum,Davidiellaceae_sp_AN1,Dothideomycetes_sp_TRN44,Dothideomycetes_sp_TRN42,Cladosporium_allicinum","0.507776, 0.244237, 0.034478, 0.017540, 0.015626, 0.015174, 0.014494, 0.012626, 0.012171, 0.011412, 0.007663",OTU537,
M12_Otu927,M12,Otu927,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Capnodiales,"Capnodiales,unclassified",Cladosporiaceae,"Cladosporiaceae,unclassified,Davidiellaceae",Cladosporium,"Cladosporium,unclassified,Rachicladosporium","Cladosporium_fusiforme,Cladosporium_sphaerospermum,Dothideomycetes_sp_TRN43,Cladosporium_cladosporioides,Rachicladosporium_inconspicuum_1,Rachicladosporium_mcmurdoi,Rachicladosporium_inconspicuum,Davidiellaceae_sp_AN1,Dothideomycetes_sp_TRN44,Dothideomycetes_sp_TRN42,Cladosporium_allicinum","0.108999, 0.044026, 0.043932, 0.043932, 0.043929, 0.043691, 0.034436, 0.032407, 0.027962, 0.026194, 0.026176",OTU187,
M12_Otu940,M12,Otu940,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Pleosporales,Pleosporales,Pleosporaceae,Pleosporaceae,Curvularia,Curvularia,Curvularia_affinis,"0.336094, 0.236547, 0.131965, 0.123826, 0.117061, 0.005417",OTU398,
M12_Otu950,M12,Otu950,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Capnodiales,Capnodiales,Piedraiaceae,Piedraiaceae,Piedraia,Piedraia,Piedraia_hortae,"0.419456, 0.060401, 0.051553, 0.050594, 0.048218, 0.047635, 0.038530, 0.038235, 0.030428, 0.028390, 0.026014",OTU957,
