"","C1","C2","C3","P1","P2","P3","M1","M2","M3","M4","M5","M6","M7","M8","M9","B1","B2","B3","Butterfly trail","Sunset Trail","Upper Solders Camp Rd.","H1","H2","H3","N1","N2","N3","A1","A2","A3","H4","H5","H6"
"H2",114.052211960517,113.428185476068,112.977649396609,139.418193672064,138.692017441777,138.432074853585,352.472819398299,351.817595475598,351.367746071757,343.817788674751,343.425070152373,344.299351850274,434.756867218787,435.34845605757,436.113637582877,382.539547729471,382.085285383708,382.562844245926,114.563478060459,114.404245354563,114.151236517811,0.202356889029428,0,0.239996077556429,396.218759589366,395.472316052228,396.236149647221,445.301180826708,444.455233313626,444.193786449975,519.434931949554,519.844341663386,518.724664811861
"H3",113.905877575993,113.281339784048,112.830475333163,139.439270910358,138.712275375338,138.453650754731,352.630331961312,351.975072244903,351.525116376622,343.982489914414,343.589755917773,344.463644548725,434.929769867898,435.521166454056,436.28623984145,382.737528983865,382.283395499841,382.760674312066,114.731483567022,114.573015380844,114.319068837699,0.438088150811789,0.239996077556429,0,396.401864373674,395.655512056732,396.419486390274,445.460973560365,444.614704379239,444.352913799482,519.650364529446,520.059807468724,518.940028780271
"N1",407.152692002233,407.30384733009,407.388309749635,312.918745849057,313.673269520699,313.112091282824,71.627793245276,72.0464137923059,72.4677389324261,66.6196492473284,66.9346867115509,66.7981784334001,46.6569700586112,47.4256653548301,48.2227836732479,42.0504568803434,42.5261952051041,41.6348853852943,282.350149520449,282.443014529336,282.774010506094,396.106429961498,396.218759589366,396.401864373674,0,0.781838122408179,0.592930399586841,76.2987250310482,76.2950453735893,76.739987504716,166.186140048162,166.614118163415,165.412915082469
"N2",406.501327926052,406.651762478757,406.735711947838,312.283103742126,313.037000265956,312.474982460178,71.3062033718725,71.7197519703295,72.1384975947643,66.1449210480609,66.4577402212592,66.3320857323747,47.3974319529707,48.1655618378705,48.9635700093915,41.5610365268507,42.0318883625197,41.1441044944914,281.61304304374,281.705421021169,282.036960188867,395.35988753945,395.472316052228,395.655512056732,0.781838122408179,0,0.844219287223755,76.926429177379,76.9156008401414,77.3557343564418,166.493668695588,166.922097101668,165.719843142575
"N3",407.335300583787,407.485515142915,407.569306298241,313.121217140313,313.874972929939,313.312764251205,72.0815217530295,72.4974296595592,72.9173654990045,66.9756369174198,67.2889896062798,67.160650156254,46.995591415911,47.7653215952971,48.5606477178967,41.5074602197545,41.9851045491942,41.092446759382,282.390035641077,282.481793710711,282.814023349503,396.1235681788,396.236149647221,396.419486390274,0.592930399586841,0.844219287223755,0,76.7694899573828,76.7712341271087,77.2196933041084,165.723749730591,166.151962011681,164.950212335021
"A1",438.761043696752,439.021279979707,439.183802964645,343.835522168509,344.66403739541,344.237761965586,92.9648348004598,93.6230972806417,94.0850080660511,102.060036965363,102.446223599214,101.488457998638,34.97172443863,34.3336090104183,33.8726615758297,117.534444612865,118.056256746261,117.139128346505,330.902995208456,331.095307910213,331.307320163333,445.213305618421,445.301180826708,445.460973560365,76.2987250310482,76.926429177379,76.7694899573828,0,1.16307228862237,1.98639562923828,198.640447713012,198.998312928985,197.97569937425
"A2",437.739001564069,438.00005568427,438.163168130879,342.821123451984,343.650071322984,343.224933430785,92.08382373262,92.741822446389,93.2022723595352,101.295215325946,101.680720443177,100.717258941853,35.453044703812,34.8285657470722,34.388347927021,117.628738543154,118.14799790114,117.231860332684,330.070224729938,330.263767775773,330.474202070343,444.367685660997,444.455233313626,444.614704379239,76.2950453735893,76.9156008401414,76.7712341271087,1.16307228862237,0,0.889596291520988,199.579548561417,199.938296756316,198.913355068324
"A3",437.268389566743,437.530556087855,437.694469137363,342.361159128858,343.190683415182,342.767069827333,91.7900993350927,92.4477527345377,92.9065394843992,101.123104283895,101.50789870889,100.538793213099,36.1833528676764,35.5654591447392,35.1349246297694,118.133599414564,118.651222940069,117.735756305954,329.823302642364,330.018140877048,330.226910787884,444.10658843217,444.193786449975,444.352913799482,76.739987504716,77.3557343564418,77.2196933041084,1.98639562923828,0.889596291520988,0,200.463294447905,200.822172150624,199.796886467755
"H4",553.480583635407,553.517193410701,553.520083597128,462.93583244684,463.596345126175,462.936372618149,237.795974443735,238.203723883897,238.618455940054,231.261592476639,231.528192093627,231.599635297945,169.318733699334,169.580351794129,169.579918509682,151.22663358768,151.443539049852,151.41734105649,413.177088136229,413.108874663536,413.599955775922,519.28489660595,519.434931949554,519.650364529446,166.186140048162,166.493668695588,165.723749730591,198.640447713012,199.579548561417,200.463294447905,0,0.440732454841438,0.785849043666733
"H5",553.914525356899,553.951038044727,553.953859097312,463.373475493603,464.033924339226,463.373898907905,238.22477757089,238.63274731744,239.047593415527,231.696079392351,231.962771240017,232.033840051873,169.701367815526,169.962040459235,169.960543988447,151.667355015238,151.88424657812,151.858068937894,413.599826904395,413.531452582071,414.022674161244,519.694263618752,519.844341663386,520.059807468724,166.614118163415,166.922097101668,166.151962011681,198.998312928985,199.938296756316,200.822172150624,0.440732454841438,0,1.22603153053018
"H6",552.7169649766,552.753808581133,552.756865007452,462.162834747609,462.823520741319,462.163691543496,237.021623733136,237.429083107507,237.843665358699,230.4801936472,230.746689006025,230.818558077193,168.614061402687,168.877187975726,168.878454171067,150.442691681181,150.659797782017,150.633263329165,412.438781785203,412.370916047777,412.86169337145,518.57471759957,518.724664811861,518.940028780271,165.412915082469,165.719843142575,164.950212335021,197.97569937425,198.913355068324,199.796886467755,0.785849043666733,1.22603153053018,0
